task_id,time_cost,avg_f1,avg_precision,avg_recall,avg_macro_f1,avg_macro_recall,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_specificity,avg_mcc,cl_mode,is_warmup
1,12.197851419448853,0.0,0.0,0.0,0.4979645134034872,0.5,0.5,0.008108935128518973,0.0,1.0,0.0,Naive,True
2,11.160193681716919,0.0,0.0,0.0,0.4927620848913713,0.5,0.5,0.02833113464485057,0.0,1.0,0.0,Naive,False
3,10.895258903503418,0.0,0.0,0.0,0.4880508630785434,0.5,0.5,0.04621480513336792,0.0,1.0,0.0,Naive,False
4,10.88290548324585,0.0,0.0,0.0,0.48353714046235097,0.5,0.5,0.062966574974646,0.0,1.0,0.0,Naive,False
5,10.999247789382935,0.0,0.0,0.0,0.47972129099332933,0.5,0.5,0.07691989855470244,0.0,1.0,0.0,Naive,False
6,10.833531856536865,0.0,0.0,0.0,0.47325091862662383,0.5,0.5,0.09933561778338147,0.0,1.0,0.0,Naive,False
7,10.93504524230957,0.0,0.0,0.0,0.4719883117981175,0.5,0.5,0.10412922316535943,0.0,1.0,0.0,Naive,False
8,11.085984706878662,0.0,0.0,0.0,0.4723999840909585,0.5,0.5,0.10289001296194558,0.0,1.0,0.0,Naive,False
9,11.195765733718872,0.0,0.0,0.0,0.4741924954292216,0.5,0.5,0.09644014814206689,0.0,1.0,0.0,Naive,False
10,12.871643781661987,0.0,0.0,0.0,0.47482315346485765,0.5,0.5,0.09430369426007867,0.0,1.0,0.0,Naive,False
